Nose,381.574,74.3998
Neck,346.078,104.732
RShoulder,348.816,107.5
RElbow,359.752,170.584
RWrist,378.997,217.117
LShoulder,346.085,102.036
LElbow,362.592,162.315
LWrist,0,0
MidHip,359.772,225.415
RHip,359.703,228.103
RKnee,362.457,315.811
RAnkle,354.235,400.837
LHip,359.815,225.349
LKneeLAnkle,365.259,313.137
REye,359.798,389.946
LEye,376.196,60.812
REar,0,0
LEar,359.689,60.8165
LBigToe,0,0
LSmallToe,398.143,409.104
LHeel,389.952,403.716
RBigToe,340.485,400.879
RSmallToe,392.67,411.899
RHeel,381.69,420.077
Background,340.49,406.383
